Date,Open,High,Low,Close,Volume,t_point
23-01-2021 11:00,32400.13281,32400.13281,31718,31718,9944,0
23-01-2021 12:00,31718,31718,31700,31700,9746,1
23-01-2021 13:00,31732,31954,31732,31954,9805,0
23-01-2021 14:00,31939,31939,31773,31786,9630,0
23-01-2021 15:00,31781,31936,31781,31936,9505,0
23-01-2021 16:00,31954,32204,31954,32194,9251,0
23-01-2021 17:00,32194,32300.86914,32194,32300.86914,8986,0
23-01-2021 18:00,32266,32318.42578,32245,32245,8454,0
23-01-2021 19:00,32246,32415.82227,32246,32415.82227,8160,0
23-01-2021 20:00,32451,32451,32235,32235,7831,0
23-01-2021 21:00,32232,32368.33008,32145,32368.33008,7770,0
23-01-2021 22:00,32379,32379,32084,32087,7499,0
23-01-2021 23:00,32084,32099,32084,32099,7065,0
24-01-2021 00:00,32099,32099,31910,31910,6871,1
24-01-2021 01:00,31927,32027,31927,31950,6377,0
24-01-2021 02:00,31947.10352,32144,31947.10352,32144,6475,0
24-01-2021 03:00,32143,32535,32143,32535,6324,0
24-01-2021 04:00,32554,32887,32554,32887,6272,0
24-01-2021 05:00,32925,32928,32925,32928,6037,0
24-01-2021 06:00,32964,32964,32766,32799,5669,0
24-01-2021 07:00,32834.76953,32874,32724,32874,5584,0
24-01-2021 08:00,32844,32844,32716,32716,5470,0
24-01-2021 09:00,32737,32745,32705,32705,5187,0
24-01-2021 10:00,32715,32748,32715,32748,5075,0
24-01-2021 11:00,32780,32897.41016,32780,32897.41016,4623,0
24-01-2021 12:00,32888,32888,32408,32443,4789,0
24-01-2021 13:00,32443,32443,32327,32327,4561,0
24-01-2021 14:00,32326,32433,32161.13086,32161.13086,4673,0
24-01-2021 15:00,32151,32361,32074,32074,4665,0
24-01-2021 16:00,32098,32098,31893.16211,31893.16211,5092,0
24-01-2021 17:00,31853.36133,31962,31853.36133,31962,5217,0
24-01-2021 18:00,31926,31972,31900,31900,5201,0
24-01-2021 19:00,31881,31881,31400.46875,31400.46875,5590,1
24-01-2021 20:00,31400,31779,31400,31779,5715,0
24-01-2021 21:00,31776,31996,31776,31972,5687,0
24-01-2021 22:00,31986,32211,31986,32211,5818,0
24-01-2021 23:00,32206,32298,32139,32298,5887,0
25-01-2021 00:00,32298,32648.92383,32298,32648.92383,6037,0
25-01-2021 01:00,32655,32930,32584,32930,6175,0
25-01-2021 02:00,32933,32933,32808,32840.875,6106,0
25-01-2021 03:00,32856,33596,32856,33596,6491,0
25-01-2021 04:00,33670,33673,33425.61328,33425.61328,6576,0
25-01-2021 05:00,33411.72266,33451,33345.30859,33345.30859,6523,0
25-01-2021 06:00,33377,33502,33377,33502,6612,0
25-01-2021 07:00,33526,33526,33389,33399,6674,0
25-01-2021 08:00,33423,33503,33423,33503,6727,0
25-01-2021 09:00,33524.6875,33524.6875,33028,33028,6942,1
25-01-2021 10:00,32998,33159,32998,33159,7045,0
25-01-2021 11:00,33149,33250,33103.07813,33250,7045,0
25-01-2021 12:00,33255,34290,33255,34232,7370,0
25-01-2021 13:00,34237,34584,34237,34584,7743,0
25-01-2021 14:00,34605.26953,34693,34504,34504,7994,0
25-01-2021 15:00,34498,34498,34479,34479,8156,0
25-01-2021 16:00,34459.96484,34459.96484,33924.92188,33924.92188,8260,0
25-01-2021 17:00,33966,33966,33778,33778,8397,0
25-01-2021 18:00,33780,33780,33711.5,33711.5,8568,0
25-01-2021 19:00,33667.19141,33709,33426,33426,8229,0
25-01-2021 20:00,33415,33455.74609,33219,33455.74609,8331,0
25-01-2021 21:00,33450,33450,32716,32716,8941,0
25-01-2021 22:00,32743,32743,32372,32480,9091,0
25-01-2021 23:00,32468,32468,32268.10352,32268.10352,9230,0
26-01-2021 00:00,32268.10352,32503.55859,32268.10352,32503.55859,9217,0
26-01-2021 01:00,32479,32747,32351,32747,9343,0
26-01-2021 02:00,32748,32748,32340,32340,9218,0
26-01-2021 03:00,32308.22266,32355,31561,31561,9422,1
26-01-2021 04:00,31506,32049,31506,32049,9385,0
26-01-2021 05:00,32050,32115,32050,32115,9424,0
26-01-2021 06:00,32106.2793,32106.2793,31668,31668,9764,0
26-01-2021 07:00,31620,31691,31434,31691,10240,0
26-01-2021 08:00,31698,31935,31698,31935,10278,0
26-01-2021 09:00,31935,31935,31707.74414,31901,10311,0
26-01-2021 10:00,31909,32290,31909,32290,10408,0
26-01-2021 11:00,32299,32299,31855,31855,10445,0
26-01-2021 12:00,31834,31834,31331,31331,10280,0
26-01-2021 13:00,31366,31795,31366,31795,10025,0
26-01-2021 14:00,31785,31785,31326,31326,9980,1
26-01-2021 15:00,31323,31837,31323,31808.22461,10071,0
26-01-2021 16:00,31808.22461,32045,31808.22461,32045,9840,0
26-01-2021 17:00,32076,32270.29102,32076,32270.29102,9794,0
26-01-2021 18:00,32295,32295,32131,32290,9632,0
26-01-2021 19:00,32310,32310,32250,32250,9394,0
26-01-2021 20:00,32263.62695,32309.41406,32018,32018,9227,0
26-01-2021 21:00,32018,32099,32018,32030,8530,0
26-01-2021 22:00,32030,32765,32030,32765,8360,0
26-01-2021 23:00,32832,32832,32519,32519,8540,0
27-01-2021 00:00,32519,32519,32388,32388,8303,0
27-01-2021 01:00,32375,32432,32137,32137,8074,0
27-01-2021 02:00,32126.0293,32173,31877,31877,8365,0
27-01-2021 03:00,31700,31826,31700,31826,9937,0
27-01-2021 04:00,31826,31922,31682,31922,9865,0
27-01-2021 05:00,31923,31923,31566.9668,31566.9668,10199,0
27-01-2021 06:00,31561,31731,31561,31731,9825,0
27-01-2021 07:00,31728,31836,31648,31836,9380,0
27-01-2021 08:00,31833,31833,31217,31217,9475,0
27-01-2021 09:00,31207,31288,31207,31288,9913,0
27-01-2021 10:00,31271,31396,31271,31396,9859,0
27-01-2021 11:00,31421,31421,30689,30689,10120,0
27-01-2021 12:00,30681,30830,30681,30830,10451,0
27-01-2021 13:00,30827,30827,30365,30365,10581,0
27-01-2021 14:00,30302.57422,30302.57422,29595,29595,12159,1
27-01-2021 15:00,29577,30423,29577,30423,12746,0
27-01-2021 16:00,30433,30736,30433,30613,13239,0
27-01-2021 17:00,30623,30623,30553,30553,13448,0
27-01-2021 18:00,30551,30551,29778,29778,13774,0
27-01-2021 19:00,29782.10352,30766,29782.10352,30766,14309,0
